5.70425 5.2378 11.1393	8704	5.70425	5	140	925.336	1044	57827	57887	16		8	13.2724	5
5.70884 6.23799 11.053	8711	5.70884	5	139	904.069	163	70121	70189	16		8	13.2724	6
5.59612 6.23329 11.2333	8539	5.59612	5	171	1900.73	736	69949	70006	13		8	13.2724	6
5.62889 7.23466 10.8212	8589	5.62889	5	166	1692.52	952	82289	82398	12		10	12.4028	7
5.62692 8.23458 13.2724	8586	5.62692	5	171	1900.73	1221	94560	94640	9		8	13.2724	8
5.63806 9.23504 13.2617	8603	5.63806	6	173	1991.01	1326	106850	106973	9		8	13.2724	9
5.64199 10.2352 12.4028	8609	5.64199	6	173	1991.01	823	119168	119254	11		8	13.2724	10
5.65051 11.2356 11.0358	8622	5.65051	5	174	2037.74	788	131471	131596	15		8	13.2724	11
5.74358 16.2394 10.7376	8764	5.74358	4	174	2037.74	608	193070	193096	13		10	12.4028	16
4.01605 26.1674 10.4925	6128	4.01605	4	61	140.628	630	313320	313341	4		57	12.1875	26
4.02915 57.1679 12.1875	6148	4.02915	5	21	38.2698	974	153585	153623	4		57	12.1875	57
4.02588 58.1678 11.1848	6143	4.02588	5	35	66.7903	826	165871	165906	4		57	12.1875	58
5.4965 251.229 11.968	8387	5.4965	8	78	214.855	2066	376918	377184	11		8	13.2724	251
1.6266 276.068 12.8926	2482	1.6266	8	52	110.85	205	137436	137796	2		276	12.8926	276
3.14966 276.131 14.272	4806	3.14966	8	80	225.537	2102	139821	140124	2		276	14.272	276
5.3556 276.223 12.2307	8172	5.3556	7	167	1732.25	1336	143258	143437	11		8	13.2724	276
1.61087 277.067 10.9617	2458	1.61087	8	80	225.537	146	149728	150029	4		276	12.8926	277
3.149 277.131 14.0655	4805	3.149	8	80	225.537	2262	152125	153252	2		276	14.272	277
5.34774 277.223 11.3959	8160	5.34774	7	168	1772.92	1830	155529	155692	16		8	13.2724	277
3.14507 305.131 10.0903	4799	3.14507	8	85	254.416	945	496231	496479	5		305	10.0903	305
6.28294 13.2619 10.7874	9587	6.28294	4	163	1578.69	217	222418	222447	8		52	12.5986	13
6.26393 14.2611 10.3727	9558	6.26393	3	170	1857.14	201	240130	240155	7		52	12.5986	14
12.3031 15.5132 12.184	18773	12.3031	5	63	148.026	2548	267035	267118	17		95	14.6711	15
6.26917 41.2614 11.5639	9566	6.26917	5	149	1140.59	1312	719020	719099	7		52	12.5986	41
6.34061 42.2643 15.8706	9675	6.34061	5	126	668.015	1996	736859	736921	6		49	19.1243	42
6.29473 43.2624 18.5484	9605	6.29473	5	149	1140.59	2345	754513	754658	10		48	20.6832	43
6.30718 44.263 17.0108	9624	6.30718	5	149	1140.59	2621	772257	772435	10		48	20.6832	44
6.21347 45.259 16.4905	9481	6.21347	5	174	2037.74	2642	9435	9584	6		49	19.1243	45
6.22854 46.2597 20.4102	9504	6.22854	4	174	2037.74	2950	27207	27336	7		48	20.6832	46
6.23837 47.2601 20.3484	9519	6.23837	5	174	2037.74	2730	44961	45090	7		48	20.6832	47
6.25934 48.261 20.6832	9551	6.25934	5	173	1991.01	2874	62706	62849	7		48	20.6832	48
11.9308 49.4977 10.9462	18205	11.9308	5	57	126.721	53	89128	89173	16		277	12.8822	49
6.27376 49.2616 19.1243	9573	6.27376	5	174	2037.74	3489	80458	80602	10		48	20.6832	49
6.50969 50.2714 16.1006	9933	6.50969	6	57	126.721	257	98483	98667	4		44	17.0108	50
6.28818 50.2622 17.6421	9595	6.28818	5	174	2037.74	1753	98215	98365	10		48	20.6832	50
6.30981 51.2631 16.541	9628	6.30981	5	172	1945.35	2200	115989	116091	7		49	19.1243	51
11.942 52.4981 10.096	18222	11.942	2	15	27.2151	82	142380	142384	17		49	10.9462	52
12.2847 52.5124 12.3517	18745	12.2847	4	107	428.433	1144	142866	142925	17		95	14.6711	52
6.32816 52.2638 12.5986	9656	6.32816	5	172	1945.35	1190	133775	133841	6		52	12.5986	52
6.33668 53.2642 11.6896	9669	6.33668	4	174	2037.74	933	151550	151586	4		52	12.5986	53
6.34716 54.2646 11.7721	9685	6.34716	4	174	2037.74	894	169304	169342	4		52	12.5986	54
7.04381 56.2937 10.1691	10748	7.04381	5	140	925.336	757	205837	205874	26		132	12.3759	56
7.04971 57.2939 10.3078	10757	7.04971	4	139	904.069	302	223587	223624	20		92	12.5391	57
7.06281 58.2945 10.083	10777	7.06281	3	139	904.069	931	241341	241373	20		94	11.5682	58
12.2624 66.5115 10.3768	18711	12.2624	8	0	0	3745	391088	391272	30		222	12.5031	66
12.1654 66.5075 10.0424	18563	12.1654	4	98	346.623	21	391027	391060	26		103	12.1061	66
12.3326 70.5144 10.3235	18818	12.3326	4	0	0	396	462205	462252	28		52	12.3517	70
10.0585 70.4195 10.1016	15348	10.0585	5	86	260.589	1093	458753	458811	22		247	11.7756	70
12.2638 70.5116 11.0136	18713	12.2638	4	121	594.492	856	462117	462154	22		103	13.1221	70
6.95992 91.2902 11.5835	10620	6.95992	3	171	1900.73	226	46074	46112	13		276	13.4222	91
6.95992 92.2902 12.5391	10620	6.95992	5	174	2037.74	227	63807	63853	8		276	13.4222	92
6.97369 93.2908 12.8307	10641	6.97369	5	174	2037.74	251	81563	81613	7		276	13.4222	93
6.99924 94.2918 11.5682	10680	6.99924	5	172	1945.35	238	99341	99385	17		276	13.4222	94
10.8049 95.4507 10.6297	16487	10.8049	3	13	23.6065	360	122884	122917	2		95	10.6297	95
11.9413 95.4981 10.4987	18221	11.9413	2	20	36.3953	10	124628	124656	12		234	12.367	95
12.2179 95.5097 14.6711	18643	12.2179	8	117	541.477	5391	124442	125241	22		251	17.6399	95
10.7033 96.4464 11.3383	16332	10.7033	8	117	541.477	2530	140384	140618	18		252	13.4223	96
12.2061 96.5092 13.9874	18625	12.2061	8	117	541.477	8012	142180	142993	21		248	17.0257	96
12.3273 102.514 11.1735	18810	12.3273	5	1	1.87635	1213	249362	249412	22		103	13.1221	102
12.324 103.514 13.1221	18805	12.324	5	1	1.87635	3565	267090	267147	18		254	15.9705	103
9.19667 103.384 10.3438	14033	9.19667	2	31	58.1129	131	262348	262354	5		103	10.3438	103
12.1779 103.508 12.1061	18582	12.1779	4	151	1194.82	14	266879	266943	16		250	14.7756	103
7.48093 124.312 10.3633	11415	7.48093	5	172	1945.35	162	632193	632227	34		126	12.6519	124
7.55892 125.315 10.546	11534	7.55892	3	157	1373.44	3	650046	650074	23		242	12.3353	125
7.53664 125.314 10.8388	11500	7.53664	3	163	1578.69	266	650016	650045	26		127	13.1543	125
7.51436 126.313 12.6519	11466	7.51436	3	172	1945.35	630	667714	667747	17		276	13.4222	126
7.56548 127.315 13.1543	11544	7.56548	5	161	1507.08	913	685527	685579	11		276	13.4222	127
7.53926 128.314 10.489	11504	7.53926	3	171	1900.73	219	703235	703271	26		126	12.6519	128
7.09362 131.296 10.6917	10824	7.09362	5	120	580.777	316	755749	755797	14		132	12.3759	131
6.98221 131.291 10.6472	10654	6.98221	5	161	1507.08	983	755585	755636	21		93	12.8307	131
7.09951 132.296 12.3759	10833	7.09951	3	121	594.492	242	773503	773531	7		276	13.4222	132
7.64674 132.319 10.3083	11668	7.64674	3	162	1542.47	458	774352	774365	15		243	11.1181	132
6.96975 132.291 12.3611	10635	6.96975	3	166	1692.52	18	773310	773348	8		276	13.4222	132
6.94551 132.29 13.0204	10598	6.94551	3	171	1900.73	1061	773276	773314	6		276	13.4222	132
7.47045 148.311 10.6179	11399	7.47045	5	174	2037.74	228	277436	277474	31		126	12.6519	148
7.49142 149.312 11.5793	11431	7.49142	4	173	1991.01	358	295207	295239	20		276	13.4222	149
7.49928 150.313 10.5303	11443	7.49928	5	174	2037.74	299	312951	312994	34		126	12.6519	150
7.52419 151.314 10.9964	11481	7.52419	5	172	1945.35	238	330726	330768	26		276	13.4222	151
7.5504 152.315 10.8725	11521	7.5504	5	170	1857.14	246	348504	348543	29		127	13.1543	152
11.9112 179.497 10.8901	18175	11.9112	5	96	330.613	1171	53619	53674	18		277	12.8822	179
12.2742 179.512 11.2469	18729	12.2742	4	123	622.888	171	54179	54218	21		103	13.1221	179
12.2329 179.51 10.2444	18666	12.2329	4	147	1088.81	116	54113	54155	29		222	12.5031	179
12.1628 179.507 10.2999	18559	12.1628	5	169	1814.54	928	54005	54052	26		222	12.5031	179
11.9059 180.497 10.3846	18167	11.9059	6	95	322.876	1311	71337	71410	21		234	12.367	180
9.47061 210.395 10.1378	14451	9.47061	4	174	2037.74	144	599758	599785	16		254	12.3568	210
9.51714 211.397 11.8558	14522	9.51714	3	168	1772.92	129	617573	617592	11		252	14.0987	211
12.1772 212.508 10.7892	18581	12.1772	3	84	248.379	2924	639349	639387	15		222	12.5031	212
9.50534 212.396 10.8609	14504	9.50534	5	173	1991.01	119	635279	635320	19		254	12.3568	212
12.1917 220.509 10.2066	18603	12.1917	3	39	76.0156	804	781273	781301	19		103	12.1061	220
12.1936 221.509 13.8622	18606	12.1936	4	30	56.0194	2224	18576	18617	18		275	16.9385	221
12.2002 222.509 12.5031	18616	12.2002	4	3	5.57867	210	36322	36362	18		247	15.2373	222
12.0986 222.505 11.3762	18461	12.0986	8	165	1653.69	2308	36057	36370	25		221	13.8622	222
