230.543 338.811 14.0833	351781	230.543	8	91	293.626	3690	706334	706666	4		328	15.7728	329
237.559 337.116 10.5525	362486	237.559	5	129	716.376	68	681728	681782	5		118	10.8165	327
234.664 337.99 10.1275	358069	234.664	3	48	99.228	276	695067	695079	14		268	12.0642	328
237.562 338.116 13.5395	362491	237.562	10	50	104.927	83	699126	706868	6		268	15.8887	328
232.633 337.902 13.9874	354970	232.633	5	155	1311.13	4180	691895	692019	14		245	16.9381	328
232.75 338.907 10.1827	355149	232.75	7	17	30.8542	20	709839	709950	37		296	12.1003	329
233.148 338.924 11.0268	355756	233.148	5	59	133.532	679	710474	710537	11		268	11.6004	329
241.336 336.28 10.2617	368250	241.336	7	134	804.807	689	669694	669865	73		245	12.4949	326
240.039 337.224 11.8553	366271	240.039	8	15	27.2151	2227	685379	685766	17		245	14.0876	327
247.147 337.533 11.399	377116	247.147	8	118	554.276	1154	696214	696517	9		327	11.399	327
241.324 337.28 14.511	368231	241.324	8	137	862.983	2354	687349	687652	10		87	17.2442	327
247.184 338.535 10.3809	377173	247.184	9	39	76.0156	941	713955	714439	16		327	11.399	328
240.001 338.222 13.119	366212	240.001	8	68	167.947	2876	703076	703499	12		245	14.0876	328
241.378 338.282 13.3406	368313	241.378	7	127	683.765	1046	705225	705410	12		268	16.2758	328
240.035 339.224 10.0564	366264	240.035	8	15	27.2151	145	720882	721143	19		267	12.2862	329
241.361 339.281 11.7527	368287	241.361	7	132	768.205	1653	722926	723103	34		268	13.9928	329
373.591 330.105 10.4451	570055	373.591	10	89	279.963	401	658323	659265	137		333	12.6152	314
373.287 332.091 10.054	569591	373.287	9	140	925.336	136	693462	694200	148		289	12.245	316
373.754 333.112 11.8983	570303	373.754	10	4	7.40899	331	711700	712793	84		308	13.9297	317
373.508 338.101 10.0762	569928	373.508	10	122	608.526	394	800116	801061	149		289	12.245	322
373.698 341.11 10.896	570218	373.698	10	60	137.043	424	853566	854595	118		341	13.1129	325
409.059 338.69 11.362	624175	409.059	7	77	209.689	1213	836948	837087	13		238	12.8698	321
409.072 339.69 10.3087	624195	409.072	7	65	155.742	1054	854702	854831	16		228	12.4218	322
454.218 338.722 11.2539	693081	454.218	9	171	1900.73	715	870273	870705	24		287	13.1553	319
474.557 338.642 11.0474	724116	474.557	3	128	699.882	1439	883700	883762	15		319	12.6313	318
474.418 339.636 12.6313	723904	474.418	7	170	1857.14	2651	901180	901350	6		319	12.6313	319
507.8 329.153 20.9837	774841	507.8	8	46	93.7393	2220	1519212	1520039	24		307	20.9837	307
507.791 330.153 18.628	774828	507.791	8	52	110.85	2172	1537355	1537753	51		307	20.9837	308
507.822 331.154 13.0266	774875	507.822	8	0	0	1354	774767	775087	47		299	15.9138	309
507.815 332.154 13.6288	774864	507.815	8	12	21.81	1542	792471	792819	59		2	16.5614	310
507.821 333.154 13.6142	774874	507.821	8	0	0	1764	810219	810551	59		2	16.5614	311
507.823 334.154 13.1451	774876	507.823	8	0	0	1604	827959	828289	51		329	15.9965	312
507.823 335.154 11.392	774876	507.823	8	0	0	380	845748	846008	53		287	13.9144	313
507.146 335.123 10.6505	773844	507.146	7	168	1772.92	840	844708	844868	47		256	12.7586	313
511.158 335.306 10.2385	779965	511.158	7	168	1772.92	879	850838	850979	40		194	12.006	313
507.811 336.154 13.1735	774858	507.811	8	40	78.4176	1756	863377	863728	50		329	15.9965	314
