6.0201	8776	5.75144	4	114	504.798	1	8776	8777	1		1	6.0201	1
7.85982	8627	5.65379	4	146	1063.8	36	20910	20920	16		17	9.53245	2
8.19975	8659	5.67476	5	143	992.168	117	33211	33255	17		4	9.64486	3
8.30067	8451	5.53845	5	173	1991.01	189	33015	33112	24		252	9.63263	3
9.64486	8794	5.76324	4	87	266.903	919	45646	45672	11		277	11.3959	4
11.1393	8704	5.70425	5	140	925.336	1044	57827	57887	16		8	13.2724	5
11.053	8711	5.70884	5	139	904.069	163	70121	70189	16		8	13.2724	6
11.2333	8539	5.59612	5	171	1900.73	736	69949	70006	13		8	13.2724	6
10.8212	8589	5.62889	5	166	1692.52	952	82289	82398	12		10	12.4028	7
13.2724	8586	5.62692	5	171	1900.73	1221	94560	94640	9		8	13.2724	8
13.2617	8603	5.63806	6	173	1991.01	1326	106850	106973	9		8	13.2724	9
12.4028	8609	5.64199	6	173	1991.01	823	119168	119254	11		8	13.2724	10
11.0358	8622	5.65051	5	174	2037.74	788	131471	131596	15		8	13.2724	11
7.78611	6150	4.03046	3	14	25.4077	294	153604	153610	6		13	7.78611	13
9.22867	8754	5.73702	7	173	1991.01	262	168423	168536	19		5	11.1393	14
7.02579	3662	2.39993	6	50	104.927	122	175686	175706	20		248	7.71529	15
8.5388	8737	5.72588	5	174	2037.74	471	180754	180795	18		4	9.64486	15
6.79592	3648	2.39075	5	73	190.123	11	187958	187973	19		248	7.71529	16
6.12103	7756	5.08297	4	165	1653.69	3	192076	192083	10		299	7.42792	16
10.7376	8764	5.74358	4	174	2037.74	608	193070	193096	13		10	12.4028	16
6.49968	7786	5.10263	4	165	1653.69	2	204393	204396	1		17	6.49968	17
9.53245	8785	5.75734	6	173	1991.01	394	205356	205436	15		277	11.3959	17
6.21085	7737	5.07052	3	174	2037.74	2	204345	204346	1		17	6.21085	17
7.88019	8822	5.78159	4	172	1945.35	168	217714	217731	11		17	9.53245	18
7.1351	8874	5.81566	5	169	1814.54	24	230051	230069	9		15	8.5388	19
6.25374	7966	5.2206	5	139	904.069	2	241437	241440	1		20	6.25374	20
7.22771	7817	5.12295	4	173	1991.01	14	241282	241293	17		297	8.6742	20
7.42235	8868	5.81173	4	174	2037.74	85	242334	242348	6		15	8.5388	20
6.5881	7957	5.2147	4	146	1063.8	5	253716	253720	13		300	7.94919	21
6.07049	7832	5.13278	5	174	2037.74	1	253590	253593	1		21	6.07049	21
6.50934	6084	3.98721	4	104	399.274	12	300994	300998	7		13	7.78611	25
6.1338	7085	4.64323	1	0	0	3	314285	314286	5		251	6.98045	26
